"lambda"	"resv"
1445	0.097273
1446	0.097161
1447	0.097071
1448	0.097039
1449	0.097029
1450	0.097037
1451	0.097081
1452	0.097099
1453	0.097138
1454	0.097211
1455	0.09732
1456	0.097465
1457	0.097622
1458	0.097881
1459	0.098079
1460	0.098244
1461	0.098632
1462	0.098988
1463	0.09938
1464	0.099936
1465	0.100458
1466	0.100973
1467	0.10174
1468	0.10238
1469	0.103041
1470	0.103884
1471	0.104564
1472	0.105238
1473	0.106223
1474	0.106924
1475	0.108019
1476	0.108877
1477	0.109752
1478	0.110732
1479	0.111624
1480	0.112759
1481	0.113553
1482	0.11451
1483	0.115341
1484	0.116414
1485	0.117296
1486	0.118138
1487	0.119284
1488	0.120249
1489	0.121538
1490	0.12244
1491	0.12371
1492	0.124726
1493	0.125898
1494	0.126925
1495	0.128263
1496	0.129428
1497	0.130708
1498	0.131936
1499	0.133016
1500	0.134371
1501	0.135333
1502	0.136674
1503	0.137918
1504	0.139299
1505	0.140673
1506	0.141715
1507	0.143077
1508	0.144029
1509	0.145412
1510	0.146827
1511	0.148041
1512	0.149456
1513	0.150455
1514	0.151853
1515	0.153295
1516	0.154395
1517	0.155851
1518	0.157214
1519	0.158289
1520	0.159581
1521	0.16104
1522	0.162091
1523	0.163549
1524	0.165026
1525	0.16611
1526	0.167464
1527	0.16876
1528	0.16985
1529	0.171017
1530	0.17222
1531	0.173672
1532	0.174669
1533	0.175974
1534	0.177279
1535	0.178549
1536	0.179584
1537	0.180827
1538	0.181901
1539	0.183283
1540	0.184385
1541	0.185357
1542	0.18663
1543	0.187824
1544	0.189151
1545	0.190106
1546	0.191078
1547	0.19239
1548	0.193535
1549	0.194665
1550	0.195736
1551	0.196692
1552	0.197598
1553	0.19878
1554	0.199729
1555	0.20086
1556	0.201985
1557	0.202975
1558	0.203609
1559	0.204477
1560	0.205302
1561	0.206145
1562	0.206988
1563	0.207914
1564	0.208643
1565	0.20961
1566	0.210344
1567	0.211331
1568	0.212058
1569	0.2129
1570	0.213742
1571	0.214551
1572	0.215404
1573	0.216308
1574	0.217215
1575	0.21783
1576	0.218856
1577	0.219474
1578	0.220234
1579	0.221073
1580	0.221771
1581	0.2227
1582	0.223569
1583	0.224503
1584	0.225158
1585	0.22603
1586	0.226877
1587	0.227601
1588	0.228166
1589	0.229056
1590	0.229727
1591	0.230656
1592	0.231526
1593	0.232634
1594	0.233593
1595	0.234489
1596	0.234983
1597	0.235824
1598	0.236477
1599	0.237355
1600	0.238165
1601	0.238883
1602	0.239466
1603	0.240494
1604	0.241102
1605	0.241957
1606	0.242552
1607	0.243197
1608	0.243665
1609	0.244347
1610	0.244764
1611	0.24543
1612	0.24602
1613	0.246782
1614	0.247318
1615	0.247941
1616	0.248421
1617	0.24894
1618	0.249351
1619	0.250108
1620	0.250443
1621	0.251026
1622	0.251632
1623	0.252254
1624	0.252933
1625	0.253449
1626	0.25372
1627	0.254349
1628	0.254588
1629	0.255134
1630	0.255492
1631	0.255876
1632	0.255916
1633	0.256478
1634	0.256937
1635	0.25753
1636	0.257624
1637	0.258178
1638	0.258393
1639	0.258818
1640	0.258787
1641	0.259426
1642	0.259665
1643	0.260176
1644	0.260373
